epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
85,516.094,0.6893,0.46454,0.00637,0.87062,0.82921,0.87245,0.67937,0.85976,0.62398,0.00824,7.12282e-05,7.12282e-05,7.12282e-05
86,522.496,0.69785,0.45155,0.00546,0.87656,0.83183,0.87446,0.67977,0.86709,0.62448,0.00834,6.39518e-05,6.39518e-05,6.39518e-05
87,528.957,0.6685,0.44241,0.0055,0.87971,0.83265,0.87535,0.6823,0.86261,0.61787,0.00832,5.71106e-05,5.71106e-05,5.71106e-05
88,534.608,0.70079,0.47907,0.00573,0.86568,0.82956,0.87572,0.68457,0.84903,0.61895,0.00815,5.07115e-05,5.07115e-05,5.07115e-05
89,540.224,0.68489,0.45943,0.00543,0.87071,0.83339,0.87645,0.6876,0.84942,0.61708,0.00817,4.47606e-05,4.47606e-05,4.47606e-05
90,545.83,0.68418,0.45922,0.00565,0.87257,0.83226,0.87837,0.68532,0.86108,0.61016,0.0083,3.9264e-05,3.9264e-05,3.9264e-05
91,561.379,0.57397,0.37779,0.00508,0.86483,0.84294,0.88036,0.68645,0.85197,0.59125,0.00823,3.4227e-05,3.4227e-05,3.4227e-05
92,567.297,0.59656,0.36977,0.00654,0.86922,0.83807,0.88191,0.68686,0.85067,0.59128,0.00827,2.96546e-05,2.96546e-05,2.96546e-05
93,572.868,0.59296,0.35443,0.005,0.86195,0.84168,0.88426,0.69509,0.84497,0.58377,0.00822,2.55513e-05,2.55513e-05,2.55513e-05
94,578.333,0.5884,0.36615,0.00503,0.86173,0.84637,0.88299,0.69439,0.83717,0.58851,0.00814,2.19212e-05,2.19212e-05,2.19212e-05
95,583.792,0.58093,0.36621,0.00501,0.86252,0.84226,0.88327,0.69248,0.8364,0.58627,0.00813,1.87678e-05,1.87678e-05,1.87678e-05
96,589.284,0.57839,0.37387,0.00501,0.85769,0.84587,0.88169,0.69284,0.83717,0.59318,0.00812,1.60943e-05,1.60943e-05,1.60943e-05
97,594.817,0.57044,0.38081,0.00497,0.86237,0.84288,0.88241,0.69019,0.84804,0.59012,0.00825,1.39032e-05,1.39032e-05,1.39032e-05
98,600.271,0.57371,0.36695,0.00505,0.85701,0.84526,0.8822,0.68979,0.85167,0.59469,0.00825,1.21968e-05,1.21968e-05,1.21968e-05
99,605.719,0.56981,0.37427,0.00489,0.86153,0.84288,0.88338,0.69127,0.84947,0.58975,0.00827,1.09768e-05,1.09768e-05,1.09768e-05
100,611.121,0.58084,0.36045,0.00502,0.86642,0.84426,0.88333,0.69205,0.84544,0.58637,0.00823,1.02443e-05,1.02443e-05,1.02443e-05
